baker,series,baker_age,baker_occupation,hometown,episode,signature_bake,show_stopper,technical,result
Briony,9,NA,NA,NA,3,NA,NA,9,IN
Dan,9,NA,NA,NA,3,NA,NA,6,IN
Jon,9,NA,NA,NA,3,NA,NA,2,IN
Karen,9,NA,NA,NA,3,NA,NA,5,IN
Kim-Joy,9,NA,NA,NA,3,NA,NA,10,IN
Manon,9,NA,NA,NA,3,NA,NA,3,IN
Ruby,9,NA,NA,NA,3,NA,NA,7,IN
Terry,9,NA,NA,NA,3,NA,NA,1,IN
Antony,9,NA,NA,NA,3,NA,NA,8,OUT
Rahul,9,NA,NA,NA,3,NA,NA,4,STAR BAKER
Imelda,9,NA,NA,NA,3,NA,NA,NA,NA
Luke,9,NA,NA,NA,3,NA,NA,NA,NA
Terry,9,NA,NA,NA,4,NA,NA,NA,[a]
Briony,9,NA,NA,NA,4,NA,NA,5,IN
Jon,9,NA,NA,NA,4,NA,NA,3,IN
Karen,9,NA,NA,NA,4,NA,NA,7,IN
Kim-Joy,9,NA,NA,NA,4,NA,NA,6,IN
Manon,9,NA,NA,NA,4,NA,NA,8,IN
Rahul,9,NA,NA,NA,4,NA,NA,4,IN
Ruby,9,NA,NA,NA,4,NA,NA,2,IN
Dan,9,NA,NA,NA,4,NA,NA,1,STAR BAKER
Antony,9,NA,NA,NA,4,NA,NA,NA,NA
Imelda,9,NA,NA,NA,4,NA,NA,NA,NA
Luke,9,NA,NA,NA,4,NA,NA,NA,NA
Briony,9,NA,NA,NA,5,NA,NA,6,IN
Dan,9,NA,NA,NA,5,NA,NA,2,IN
Jon,9,NA,NA,NA,5,NA,NA,7,IN
Manon,9,NA,NA,NA,5,NA,NA,5,IN
Rahul,9,NA,NA,NA,5,NA,NA,3,IN
Ruby,9,NA,NA,NA,5,NA,NA,1,IN
Karen,9,NA,NA,NA,5,NA,NA,9,OUT
Terry,9,NA,NA,NA,5,NA,NA,8,OUT
Kim-Joy,9,NA,NA,NA,5,NA,NA,4,STAR BAKER
Antony,9,NA,NA,NA,5,NA,NA,NA,NA
Imelda,9,NA,NA,NA,5,NA,NA,NA,NA
Luke,9,NA,NA,NA,5,NA,NA,NA,NA
Jon,9,NA,NA,NA,6,NA,NA,2,IN
Kim-Joy,9,NA,NA,NA,6,NA,NA,5,IN
Manon,9,NA,NA,NA,6,NA,NA,4,IN
Rahul,9,NA,NA,NA,6,NA,NA,3,IN
Ruby,9,NA,NA,NA,6,NA,NA,7,IN
Dan,9,NA,NA,NA,6,NA,NA,6,OUT
Briony,9,NA,NA,NA,6,NA,NA,1,STAR BAKER
Antony,9,NA,NA,NA,6,NA,NA,NA,NA
Imelda,9,NA,NA,NA,6,NA,NA,NA,NA
Karen,9,NA,NA,NA,6,NA,NA,NA,NA
Luke,9,NA,NA,NA,6,NA,NA,NA,NA
Terry,9,NA,NA,NA,6,NA,NA,NA,NA
Briony,9,NA,NA,NA,7,NA,NA,5,IN
Manon,9,NA,NA,NA,7,NA,NA,2,IN
Rahul,9,NA,NA,NA,7,NA,NA,1,IN
Ruby,9,NA,NA,NA,7,NA,NA,3,IN
Jon,9,NA,NA,NA,7,NA,NA,4,OUT
Kim-Joy,9,NA,NA,NA,7,NA,NA,6,STAR BAKER
Antony,9,NA,NA,NA,7,NA,NA,NA,NA
Dan,9,NA,NA,NA,7,NA,NA,NA,NA
Imelda,9,NA,NA,NA,7,NA,NA,NA,NA
Karen,9,NA,NA,NA,7,NA,NA,NA,NA
Luke,9,NA,NA,NA,7,NA,NA,NA,NA
Terry,9,NA,NA,NA,7,NA,NA,NA,NA
Briony,9,NA,NA,NA,8,NA,NA,1,IN
Kim-Joy,9,NA,NA,NA,8,NA,NA,2,IN
Rahul,9,NA,NA,NA,8,NA,NA,5,IN
Manon,9,NA,NA,NA,8,NA,NA,4,OUT
Ruby,9,NA,NA,NA,8,NA,NA,3,STAR BAKER
Antony,9,NA,NA,NA,8,NA,NA,NA,NA
Dan,9,NA,NA,NA,8,NA,NA,NA,NA
Imelda,9,NA,NA,NA,8,NA,NA,NA,NA
Jon,9,NA,NA,NA,8,NA,NA,NA,NA
Karen,9,NA,NA,NA,8,NA,NA,NA,NA
Luke,9,NA,NA,NA,8,NA,NA,NA,NA
Terry,9,NA,NA,NA,8,NA,NA,NA,NA
Kim-Joy,9,NA,NA,NA,9,NA,NA,2,IN
Rahul,9,NA,NA,NA,9,NA,NA,4,IN
Briony,9,NA,NA,NA,9,NA,NA,3,OUT
Ruby,9,NA,NA,NA,9,NA,NA,1,STAR BAKER
Antony,9,NA,NA,NA,9,NA,NA,NA,NA
Dan,9,NA,NA,NA,9,NA,NA,NA,NA
Imelda,9,NA,NA,NA,9,NA,NA,NA,NA
Jon,9,NA,NA,NA,9,NA,NA,NA,NA
Karen,9,NA,NA,NA,9,NA,NA,NA,NA
Luke,9,NA,NA,NA,9,NA,NA,NA,NA
Manon,9,NA,NA,NA,9,NA,NA,NA,NA
Terry,9,NA,NA,NA,9,NA,NA,NA,NA
Kim-Joy,9,NA,NA,NA,10,NA,NA,1,Runner-up
Ruby,9,NA,NA,NA,10,NA,NA,3,Runner-up
Rahul,9,NA,NA,NA,10,NA,NA,2,WINNER
Antony,9,NA,NA,NA,10,NA,NA,NA,NA
Briony,9,NA,NA,NA,10,NA,NA,NA,NA
Dan,9,NA,NA,NA,10,NA,NA,NA,NA
Imelda,9,NA,NA,NA,10,NA,NA,NA,NA
Jon,9,NA,NA,NA,10,NA,NA,NA,NA
Karen,9,NA,NA,NA,10,NA,NA,NA,NA
Luke,9,NA,NA,NA,10,NA,NA,NA,NA
Manon,9,NA,NA,NA,10,NA,NA,NA,NA
Terry,9,NA,NA,NA,10,NA,NA,NA,NA
Alice,10,NA,NA,NA,1,NA,NA,5,IN
Amelia,10,NA,NA,NA,1,NA,NA,4,IN
David,10,NA,NA,NA,1,NA,NA,10,IN
Helena,10,NA,NA,NA,1,NA,NA,12,IN
Henry,10,NA,NA,NA,1,NA,NA,1,IN
Jamie,10,NA,NA,NA,1,NA,NA,13,IN
Michael,10,NA,NA,NA,1,NA,NA,11,IN
Phil,10,NA,NA,NA,1,NA,NA,8,IN
Priya,10,NA,NA,NA,1,NA,NA,7,IN
Rosie,10,NA,NA,NA,1,NA,NA,2,IN
Steph,10,NA,NA,NA,1,NA,NA,3,IN
Dan,10,NA,NA,NA,1,NA,NA,9,OUT
Michelle,10,NA,NA,NA,1,NA,NA,6,STAR BAKER
Amelia,10,NA,NA,NA,2,NA,NA,9,IN
David,10,NA,NA,NA,2,NA,NA,2,IN
Helena,10,NA,NA,NA,2,NA,NA,12,IN
Henry,10,NA,NA,NA,2,NA,NA,6,IN
Michael,10,NA,NA,NA,2,NA,NA,4,IN
Michelle,10,NA,NA,NA,2,NA,NA,8,IN
Phil,10,NA,NA,NA,2,NA,NA,3,IN
Priya,10,NA,NA,NA,2,NA,NA,7,IN
Rosie,10,NA,NA,NA,2,NA,NA,5,IN
Steph,10,NA,NA,NA,2,NA,NA,10,IN
Jamie,10,NA,NA,NA,2,NA,NA,11,OUT
Alice,10,NA,NA,NA,2,NA,NA,1,STAR BAKER
Dan,10,NA,NA,NA,2,NA,NA,NA,NA
Alice,10,NA,NA,NA,3,NA,NA,7,IN
David,10,NA,NA,NA,3,NA,NA,2,IN
Helena,10,NA,NA,NA,3,NA,NA,8,IN
Henry,10,NA,NA,NA,3,NA,NA,1,IN
Michelle,10,NA,NA,NA,3,NA,NA,5,IN
Phil,10,NA,NA,NA,3,NA,NA,10,IN
Priya,10,NA,NA,NA,3,NA,NA,4,IN
Rosie,10,NA,NA,NA,3,NA,NA,9,IN
Steph,10,NA,NA,NA,3,NA,NA,3,IN
Amelia,10,NA,NA,NA,3,NA,NA,11,OUT
Michael,10,NA,NA,NA,3,NA,NA,6,STAR BAKER
Dan,10,NA,NA,NA,3,NA,NA,NA,NA
Jamie,10,NA,NA,NA,3,NA,NA,NA,NA
Alice,10,NA,NA,NA,4,NA,NA,8,IN
David,10,NA,NA,NA,4,NA,NA,2,IN
Helena,10,NA,NA,NA,4,NA,NA,9,IN
Henry,10,NA,NA,NA,4,NA,NA,3,IN
Michael,10,NA,NA,NA,4,NA,NA,7,IN
Michelle,10,NA,NA,NA,4,NA,NA,5,IN
Priya,10,NA,NA,NA,4,NA,NA,10,IN
Rosie,10,NA,NA,NA,4,NA,NA,4,IN
Phil,10,NA,NA,NA,4,NA,NA,6,OUT
Steph,10,NA,NA,NA,4,NA,NA,1,STAR BAKER
Amelia,10,NA,NA,NA,4,NA,NA,NA,NA
Dan,10,NA,NA,NA,4,NA,NA,NA,NA
Jamie,10,NA,NA,NA,4,NA,NA,NA,NA
Alice,10,NA,NA,NA,5,NA,NA,6,IN
David,10,NA,NA,NA,5,NA,NA,9,IN
Henry,10,NA,NA,NA,5,NA,NA,3,IN
Michael,10,NA,NA,NA,5,NA,NA,8,IN
Priya,10,NA,NA,NA,5,NA,NA,2,IN
Rosie,10,NA,NA,NA,5,NA,NA,5,IN
Helena,10,NA,NA,NA,5,NA,NA,1,OUT
Michelle,10,NA,NA,NA,5,NA,NA,7,OUT
Steph,10,NA,NA,NA,5,NA,NA,4,STAR BAKER
Amelia,10,NA,NA,NA,5,NA,NA,NA,NA
Dan,10,NA,NA,NA,5,NA,NA,NA,NA
Jamie,10,NA,NA,NA,5,NA,NA,NA,NA
Phil,10,NA,NA,NA,5,NA,NA,NA,NA
Alice,10,NA,NA,NA,6,NA,NA,1,IN
David,10,NA,NA,NA,6,NA,NA,2,IN
Henry,10,NA,NA,NA,6,NA,NA,4,IN
Michael,10,NA,NA,NA,6,NA,NA,6,IN
Rosie,10,NA,NA,NA,6,NA,NA,5,IN
Priya,10,NA,NA,NA,6,NA,NA,7,OUT
Steph,10,NA,NA,NA,6,NA,NA,3,STAR BAKER
Amelia,10,NA,NA,NA,6,NA,NA,NA,NA
Dan,10,NA,NA,NA,6,NA,NA,NA,NA
Helena,10,NA,NA,NA,6,NA,NA,NA,NA
Jamie,10,NA,NA,NA,6,NA,NA,NA,NA
Michelle,10,NA,NA,NA,6,NA,NA,NA,NA
Phil,10,NA,NA,NA,6,NA,NA,NA,NA
Alice,10,NA,NA,NA,7,NA,NA,6,IN
David,10,NA,NA,NA,7,NA,NA,2,IN
Rosie,10,NA,NA,NA,7,NA,NA,1,IN
Steph,10,NA,NA,NA,7,NA,NA,4,IN
Michael,10,NA,NA,NA,7,NA,NA,5,OUT
Henry,10,NA,NA,NA,7,NA,NA,3,STAR BAKER
Amelia,10,NA,NA,NA,7,NA,NA,NA,NA
Dan,10,NA,NA,NA,7,NA,NA,NA,NA
Helena,10,NA,NA,NA,7,NA,NA,NA,NA
Jamie,10,NA,NA,NA,7,NA,NA,NA,NA
Michelle,10,NA,NA,NA,7,NA,NA,NA,NA
Phil,10,NA,NA,NA,7,NA,NA,NA,NA
Priya,10,NA,NA,NA,7,NA,NA,NA,NA
Alice,10,NA,NA,NA,8,NA,NA,3,IN
David,10,NA,NA,NA,8,NA,NA,1,IN
Rosie,10,NA,NA,NA,8,NA,NA,2,IN
Henry,10,NA,NA,NA,8,NA,NA,5,OUT
Steph,10,NA,NA,NA,8,NA,NA,4,STAR BAKER
Amelia,10,NA,NA,NA,8,NA,NA,NA,NA
Dan,10,NA,NA,NA,8,NA,NA,NA,NA
Helena,10,NA,NA,NA,8,NA,NA,NA,NA
Jamie,10,NA,NA,NA,8,NA,NA,NA,NA
Michael,10,NA,NA,NA,8,NA,NA,NA,NA
Michelle,10,NA,NA,NA,8,NA,NA,NA,NA
Phil,10,NA,NA,NA,8,NA,NA,NA,NA
Priya,10,NA,NA,NA,8,NA,NA,NA,NA
David,10,NA,NA,NA,9,NA,NA,2,IN
Steph,10,NA,NA,NA,9,NA,NA,3,IN
Rosie,10,NA,NA,NA,9,NA,NA,1,OUT
Alice,10,NA,NA,NA,9,NA,NA,4,STAR BAKER
Amelia,10,NA,NA,NA,9,NA,NA,NA,NA
Dan,10,NA,NA,NA,9,NA,NA,NA,NA
Helena,10,NA,NA,NA,9,NA,NA,NA,NA
Henry,10,NA,NA,NA,9,NA,NA,NA,NA
Jamie,10,NA,NA,NA,9,NA,NA,NA,NA
Michael,10,NA,NA,NA,9,NA,NA,NA,NA
Michelle,10,NA,NA,NA,9,NA,NA,NA,NA
Phil,10,NA,NA,NA,9,NA,NA,NA,NA
Priya,10,NA,NA,NA,9,NA,NA,NA,NA
Alice,10,NA,NA,NA,10,NA,NA,2,Runner-up
Steph,10,NA,NA,NA,10,NA,NA,3,Runner-up
David,10,NA,NA,NA,10,NA,NA,1,WINNER
Amelia,10,NA,NA,NA,10,NA,NA,NA,NA
Dan,10,NA,NA,NA,10,NA,NA,NA,NA
Helena,10,NA,NA,NA,10,NA,NA,NA,NA
Henry,10,NA,NA,NA,10,NA,NA,NA,NA
Jamie,10,NA,NA,NA,10,NA,NA,NA,NA
Michael,10,NA,NA,NA,10,NA,NA,NA,NA
Michelle,10,NA,NA,NA,10,NA,NA,NA,NA
Phil,10,NA,NA,NA,10,NA,NA,NA,NA
Priya,10,NA,NA,NA,10,NA,NA,NA,NA
Rosie,10,NA,NA,NA,10,NA,NA,NA,NA
"""Jo""",2,NA,NA,NA,1,Chocolate Orange CupcakesOrange and Cardamom Cupcakes,Chocolate and Strawberry Cake,NA,NA
"""Jo""",2,NA,NA,NA,2,"Caramelised Onion, Gruyere and Thyme Quiche",Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust,NA,NA
"""Jo""",2,NA,NA,NA,3,"Stromboli flavored with Mozzarella, Ham, and Picante Pepper",Unknown,NA,NA
"""Jo""",2,NA,NA,NA,4,Lavender Biscuits,Blueberry MacaronsCoconut MacaronsStrawberry Macarons,NA,NA
"""Jo""",2,NA,NA,NA,5,Salmon and Asparagus Pie,Apple and Raspberry Meringue Pie,NA,NA
"""Jo""",2,NA,NA,NA,6,Rum and Raisin Baked Cheesecake,Limoncello and White Chocolate Croquembouche,NA,NA
"""Jo""",2,NA,NA,NA,7,Raspberry & Strawberry Mousse Cake,Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries,NA,NA
"""Jo""",2,NA,NA,NA,8,Raspberry and Blueberry Mille Feuille,"Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse",NA,NA
Ali Imdad,4,25,Charity worker,"Saltley, Birmingham",NA,NA,NA,NA,NA
Alice Fevronia,10,28,Geography teacher,Essex,NA,NA,NA,NA,NA
Alvin Magallanes,6,37,Nurse,"Bracknell, Berkshire",NA,NA,NA,NA,NA
Amelia LeBruin,10,24,Fashion designer,Halifax,NA,NA,NA,NA,NA
Andrew Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",NA,NA,NA,NA,NA
Annetha Mills,1,30,Midwife,Essex,NA,NA,NA,NA,NA
Antony Amourdoux,9,30,Banker,London,NA,NA,NA,NA,NA
Beca Lyne-Pirkis,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire",NA,NA,NA,NA,NA
Ben Frazer,2,31,Graphic Designer,Northampton,NA,NA,NA,NA,NA
Benjamina Ebuehi,7,23,Teaching assistant,South London,NA,NA,NA,NA,NA
Brendan Lynch,3,63,Recruitment consultant,Sutton Coldfield,NA,NA,NA,NA,NA
Briony Williams,9,33,Full-time parent,Bristol,NA,NA,NA,NA,NA
Candice Brown,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire",NA,NA,NA,NA,NA
Cathryn Dresser,3,27,Shop assistant,"Pease Pottage, West Sussex",NA,NA,NA,NA,NA
Chetna Makan,5,35,Fashion Designer,"Broadstairs, Kent",NA,NA,NA,NA,NA
Chris Geiger,8,50,Software developer,Bristol,NA,NA,NA,NA,NA
Christine Wallace,4,66,Director of an engraving company,"Didcot, Oxfordshire",NA,NA,NA,NA,NA
Yan Tsou,8,46,Laboratory research scientist,North London,NA,NA,NA,NA,NA
Claire Goodwin,5,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA,NA,NA,NA,NA
Dan Beasley-Harling,9,36,Full-time parent,London,NA,NA,NA,NA,NA
Dan Chambers,10,32,Support worker,Rotherham,NA,NA,NA,NA,NA
Danny Bryden,3,45,Intensive care consultant,Sheffield,NA,NA,NA,NA,NA
David Atherton,10,36,International health adviser,Whitby,NA,NA,NA,NA,NA
David Chambers,1,31,Entrepreneur,Milton Keynes,NA,NA,NA,NA,NA
Deborah Manger,4,51,Dentist,Peterborough,NA,NA,NA,NA,NA
Diana Beard,5,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA,NA,NA,NA
Dorret Conway,6,53,Accountant,"Penwortham, Lancashire",NA,NA,NA,NA,NA
Edd Kimber,1,24,Debt collector for Yorkshire Bank,Bradford,NA,NA,NA,NA,NA
Enwezor Nzegwu,5,39,Business Consultant,"Portsmouth, Hampshire",NA,NA,NA,NA,NA
Flo Atkins,8,71,Retired,Merseyside,NA,NA,NA,NA,NA
Flora Shedden,6,19,Art gallery assistant,"Dunkeld, Perth and Kinross",NA,NA,NA,NA,NA
Frances Quinn,4,31,Children's Clothes Designer,"Market Harborough, Leicestershire",NA,NA,NA,NA,NA
Glenn Cosby,4,37,English Teacher,"Teignmouth, Devon",NA,NA,NA,NA,NA
Helena Garcia,10,40,Online project manager,Leeds,NA,NA,NA,NA,NA
Henry Bird,10,20,Student,Durham,NA,NA,NA,NA,NA
Holly Bell,2,31,Advertising executive,Leicester,NA,NA,NA,NA,NA
Howard Middleton,4,51,Council Worker,Sheffield,NA,NA,NA,NA,NA
Iain Watters,5,31,Construction Engineer,London/Belfast,NA,NA,NA,NA,NA
Ian Cumming,6,41,Travel photographer,"Great Wilbraham, Cambridgeshire",NA,NA,NA,NA,NA
Ian Vallance,2,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA,NA,NA,NA,NA
Imelda McCarron,9,33,Countryside recreation officer,County Tyrone,NA,NA,NA,NA,NA
James Hillery,8,46,Banker,"Brentwood, Essex",NA,NA,NA,NA,NA
James Morton,3,21,Medical student,"Hillswick, Shetland Islands",NA,NA,NA,NA,NA
Jamie Finn,10,20,Part-time waiter,Surrey,NA,NA,NA,NA,NA
Jane Beedle,7,61,Garden designer,Beckenham,NA,NA,NA,NA,NA
Janet Basu,2,63,Teacher of Modern Languages,"Formby, Liverpool",NA,NA,NA,NA,NA
Jasminder Randhawa,1,45,Assistant Credit Control Manager,Birmingham,NA,NA,NA,NA,NA
Jason White,2,19,Civil Engineering Student,Croydon,NA,NA,NA,NA,NA
Jo Wheatley,2,41,Housewife,"Ongar, Essex",NA,NA,NA,NA,NA
John Whaite,3,22,Law student,Wigan,NA,NA,NA,NA,NA
Jon Jenkins,9,47,Blood courier,Newport,NA,NA,NA,NA,NA
Jonathan Shepherd,1,25,Research Analyst,St Albans,NA,NA,NA,NA,NA
Jordan Cox,5,32,IT Manager,"Sneinton, Nottingham",NA,NA,NA,NA,NA
Julia Chernogorova,8,21,Aviation Broker,"Crawley, West Sussex",NA,NA,NA,NA,NA
Karen Wright,9,60,In-store sampling assistant,Wakefield,NA,NA,NA,NA,NA
Kate Barmby,7,37,Nurse,"Brooke, Norfolk",NA,NA,NA,NA,NA
Kate Henry,5,41,Furniture Restorer,"Brighton, East Sussex",NA,NA,NA,NA,NA
Kate Lyon,8,29,Health and safety inspector,Merseyside,NA,NA,NA,NA,NA
Keith Batsford,2,31,House husband,"Arlesey, Bedfordshire",NA,NA,NA,NA,NA
Kim-Joy Hewlett,9,27,Mental health specialist,Leeds,NA,NA,NA,NA,NA
Kimberley Wilson,4,30,Psychologist,London,NA,NA,NA,NA,NA
Lea Harris,1,51,Retired,"Midlothian, Scotland",NA,NA,NA,NA,NA
Lee Banfield,7,67,Pastor,Bolton,NA,NA,NA,NA,NA
Liam Charles,8,19,Student,North London,NA,NA,NA,NA,NA
Louise Brimelow,1,44,Police Officer,Manchester,NA,NA,NA,NA,NA
Louise Williams,7,46,Hairdresser,Cardiff,NA,NA,NA,NA,NA
Lucy Bellamy,4,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA,NA,NA,NA
Luis Troyano,5,42,Graphic Designer,"Poynton, Cheshire",NA,NA,NA,NA,NA
Luke Thompson,9,30,Civil servant/house and techno DJ,Sheffield,NA,NA,NA,NA,NA
Manisha Parmar,3,27,Nursery nurse,Leicester,NA,NA,NA,NA,NA
Manon Lagrave,9,26,Software project manager,London,NA,NA,NA,NA,NA
Marie Campbell,6,66,Retired,"Auchterarder, Perthshire",NA,NA,NA,NA,NA
Mark Onley,4,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA,NA,NA,NA
Mark Whithers,1,48,Bus Driver,South Wales,NA,NA,NA,NA,NA
Martha Collison,5,17,Student,"Ascot, Berkshire",NA,NA,NA,NA,NA
Mary-Anne Boermans,2,45,Housewife,"Kidderminster, Worcestershire",NA,NA,NA,NA,NA
Mat Riley,6,37,Fire fighter,London,NA,NA,NA,NA,NA
Michael Chakraverty,10,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA,NA,NA,NA
Michael Georgiou,7,20,Student,Durham,NA,NA,NA,NA,NA
Michelle Evans-Fecci,10,35,Print shop administrator,"Tenby, Wales",NA,NA,NA,NA,NA
Miranda Browne,1,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",NA,NA,NA,NA,NA
Nadiya Hussain,6,30,Full-time mother,Leeds / Luton,NA,NA,NA,NA,NA
Nancy Birtwhistle,5,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",NA,NA,NA,NA,NA
Natasha Stringer,3,36,Midwife,"Tamworth, Staffordshire",NA,NA,NA,NA,NA
Norman Calder,5,66,Retired Naval Officer,"Portknockie, Moray",NA,NA,NA,NA,NA
Paul Jagger,6,49,Prison governor,"Swansea, Wales",NA,NA,NA,NA,NA
Peter Abatan,8,52,IT programme manager,"Southend, Essex",NA,NA,NA,NA,NA
Peter Maloney,3,43,Sales manager,"Windsor, Berkshire",NA,NA,NA,NA,NA
Phil Thorne,10,56,HGV driver,Rainham,NA,NA,NA,NA,NA
Priya O'Shea,10,34,Marketing consultant,Leicester,NA,NA,NA,NA,NA
Rahul Mandal,9,30,Research scientist,Rotherham,NA,NA,NA,NA,NA
Rav Bansal,7,28,Student support,Erith,NA,NA,NA,NA,NA
Richard Burr,5,38,Builder,"Mill Hill, London",NA,NA,NA,NA,NA
Robert Billington,2,25,Photographer,London,NA,NA,NA,NA,NA
Robert Smart,4,54,Space Satellite Designer,"Melbourn, Cambridgeshire",NA,NA,NA,NA,NA
Rosie Brandreth-Poynter,10,28,Veterinary surgeon,Somerset,NA,NA,NA,NA,NA
Ruby Bhogal,9,29,Project manager,London,NA,NA,NA,NA,NA
Ruby Tandoh,4,20,History of Art and Philosophy Student,"Southend, Essex",NA,NA,NA,NA,NA
Ruth Clemens,1,31,Retail manager/Housewife,"Poynton, Cheshire",NA,NA,NA,NA,NA
Ryan Chong,3,38,Photographer,Bristol,NA,NA,NA,NA,NA
Sandy Docherty,6,49,Child welfare officer,"Yeadon, West Yorkshire",NA,NA,NA,NA,NA
Sarah-Jane Willis,3,28,Vicar's wife,"Bewbush, West Sussex",NA,NA,NA,NA,NA
Selasi Gbormittah,7,30,Client service associate,London,NA,NA,NA,NA,NA
Simon Blackwell,2,31,Rugby Coach,Norfolk,NA,NA,NA,NA,NA
Sophie Faldo,8,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",NA,NA,NA,NA,NA
Stacey Hart,8,42,Former school teacher,"Radlett, Hertfordshire",NA,NA,NA,NA,NA
Steph Blackwell,10,28,Shop assistant,Chester,NA,NA,NA,NA,NA
Steven Carter-Bailey,8,34,Marketer,"Watford, Hertfordshire",NA,NA,NA,NA,NA
Stu Henshall,6,35,Professional musician,"Guildford, Surrey",NA,NA,NA,NA,NA
Stuart Marston-Smith,3,26,PE teacher,"Lichfield, Staffordshire",NA,NA,NA,NA,NA
Tamal Ray,6,29,Trainee anaesthetist,Manchester,NA,NA,NA,NA,NA
Terry Hartill,9,56,Retired air steward,West Midlands,NA,NA,NA,NA,NA
Toby Waterworth,4,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA,NA
Tom Gilliford,7,26,Project engagement manager,Rochdale,NA,NA,NA,NA,NA
Tom Hetherington,8,29,Architect,Edinburgh,NA,NA,NA,NA,NA
Ugnė Bubnaityte,6,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",NA,NA,NA,NA,NA
Urvashi Roe,2,40,Head of Marketing,"Enfield, London",NA,NA,NA,NA,NA
Val Stones,7,66,"Semi-retired, Substitute teacher",Yeovil,NA,NA,NA,NA,NA
Victoria Chester,3,50,CEO of the charity Plantlife,Somerset,NA,NA,NA,NA,NA
Yasmin Limbert,2,43,Childminder,"West Kirby, The Wirral",NA,NA,NA,NA,NA
